song_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,num_samples,duration,duration_ms,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,song_duration_ms,popularity,explicit
6a80d8c2-f450-49f6-8e11-a58615ff593e,0.44156,0.757,0.912,0.26756,9,0.3418,-5.844,0,0.5452,83.354,4,0.586,5873183,266.3575,266357.0,0.0,262.10684,0.617,0.015,0.992,0.893,266325,56,1
357b20cc-3e5c-4a32-8994-6e209069b28a,0.51151,0.594,0.808,0.25895,9,0.4,-8.737,0,0.5053,161.499,7,0.674,6497823,294.68585,294685.0,2.15946,285.62866,0.593,0.01,0.993,0.893,294650,51,1
c5c961fa-d46e-4ddd-9184-d47596bf9f1c,0.41638,0.911,0.94,0.23147,5,0.3299,-6.027,1,0.5684,112.347,7,0.727,5427743,246.15614,246156.0,2.80961,241.97514,0.762,0.013,0.994,0.894,246133,45,1
a909635f-7588-408f-93d3-e2d7b457fa97,0.4254,0.774,0.913,0.27179,9,0.4,-7.073,0,0.4699,143.555,7,0.712,3066399,139.0657,,0.09288,134.90794,0.682,0.012,0.996,0.896,163091,46,1
5b103d9a-04ef-419f-8256-35a48461190b,0.4742,0.832,0.866,0.28786,9,0.4,-8.496,0,0.5997,95.703,4,0.602,3495455,158.52403,,2.27556,156.22385,0.679,0.023,0.99,0.891,138750,55,1
161b0fd2-e7bd-43ca-a01a-519926b7a1d3,0.55634,0.826,0.769,0.27948,5,0.3324,-7.937,1,0.4072,99.384,3,0.574,5564959,252.37909,252379.0,3.27401,249.63773,0.697,0.019,0.989,0.89,252378,64,1
df932fb8-6b08-4739-953e-07549864d70e,0.52013,0.794,0.801,0.24246,5,0.4,-8.314,1,0.4732,107.666,5,0.628,3697183,167.6727,167672.0,3.29723,160.26413,0.738,0.026,0.993,0.893,243227,70,1
6521c091-0e21-4fc6-a804-57996ac54e2e,0.52587,0.651,0.804,0.26032,5,0.4,-8.044,1,0.5168,99.384,4,0.614,6398495,290.18118,290181.0,0.04644,289.71536,0.697,0.024,0.994,0.895,253533,68,1
9e56ca45-9def-48cf-8197-bd6e4fdad56b,0.54201,0.717,0.773,0.19921,5,0.4,-9.709,1,0.4132,95.703,4,0.572,3389983,153.74072,153740.0,0.0,149.46684,0.679,0.03,0.993,0.894,241023,84,1
3baa9f0d-1a35-449a-b9ed-cadfec1c8a23,0.55036,0.837,0.774,0.25686,5,0.4,-9.017,1,0.4075,103.359,4,0.589,5420575,245.83107,245831.0,0.18576,242.55565,0.717,0.021,0.993,0.893,245786,73,0
dfe51b1d-a674-4b6e-9755-ff1ba2959159,0.51867,0.91,0.775,0.22876,5,0.3028,-5.944,1,0.4043,117.454,5,0.619,3932703,178.35388,178353.0,0.0,170.64345,0.787,0.019,0.995,0.896,178328,57,1
d8995075-e1be-4a47-937d-53446f6ffeb8,0.39056,0.868,0.944,0.19824,2,0.3022,-6.814,0,0.5563,123.047,5,0.675,3024415,137.16168,137161.0,0.0,136.9745,0.785,0.02,0.989,0.89,137142,73,1
aa1effcb-ed3f-46d6-b9e8-ab3b2725d47d,0.47465,0.759,0.868,0.20551,5,0.3478,-5.874,1,0.5304,143.555,4,0.778,3619359,164.14326,164143.0,0.0,159.52109,0.682,0.016,0.992,0.893,309560,53,1
d6da0df8-3ecc-493a-8199-29d9d09d214e,0.55734,0.864,0.764,0.20254,5,0.3777,-6.548,1,0.4198,117.454,4,0.606,5596703,253.81873,253818.0,7.33751,232.22276,0.787,0.026,0.989,0.89,205721,75,1
c9ccd85d-6ce9-4a5e-aea5-a0404d478a63,0.42452,0.866,0.883,0.2881,9,0.2883,-6.516,0,0.584,129.199,5,0.676,4640768,210.46567,210465.0,0.32508,210.04771,0.754,0.011,0.991,0.892,153406,65,1
ba6a313b-520e-413b-8162-43fbca481b06,0.40788,0.866,0.906,0.22386,9,0.2918,-4.865,0,0.5742,103.359,5,0.627,3288607,149.14317,,0.1161,144.59065,0.717,0.019,0.979,0.881,164516,43,1
7c200e7b-7a1b-45ea-9ab0-ce109f9c8b83,0.47445,0.879,0.86,0.26499,5,0.3747,-10.385,1,0.5884,123.047,3,0.728,5196319,235.66074,235660.0,2.34522,232.9658,0.785,0.019,0.99,0.891,235620,64,1
71c5b455-f78f-40b2-8be3-9193933cb965,0.47813,0.851,0.857,0.22843,9,0.3846,-7.412,0,0.581,129.199,3,0.662,6032927,273.60214,273602.0,0.0,272.5094,0.754,0.022,0.994,0.894,241889,72,1
d438f27c-8c90-45c1-bbaf-1732101b9f59,0.47294,0.884,0.76,0.31219,5,0.2285,-4.051,1,0.3204,123.047,4,0.613,3816991,173.10617,173106.0,0.0,173.10477,0.785,0.014,0.987,0.889,208917,63,1
e3a213d0-9596-49cc-af13-e3c305024fe1,0.35481,0.785,0.949,0.2568,5,0.2934,-7.714,1,0.4794,86.133,6,0.674,4254239,192.936,192936.0,0.0,192.37732,0.631,0.017,0.987,0.888,252053,59,1
720d22ca-721c-4d32-a056-4c957e509dee,0.54486,0.73,0.765,0.18114,0,0.4,-10.053,1,0.4331,86.133,4,0.542,4174367,189.3137,189313.0,0.0,178.65433,0.631,0.055,0.993,0.894,189289,70,1
1b1436a8-fcde-469a-8c8d-153c2c360cab,0.43648,0.894,0.911,0.2039,5,0.3354,-6.988,1,0.5858,107.666,5,0.712,10075679,456.9469,456946.0,0.18576,452.74268,0.738,0.009,0.994,0.895,202450,56,1
c1825347-6964-446a-b3ff-2c88e2c30939,0.39283,0.742,0.876,0.29372,5,0.2545,-6.536,1,0.5941,143.555,3,0.779,4257311,193.07533,193075.0,0.04644,193.00426,0.682,0.009,0.995,0.896,245131,66,1
78e5ee59-ccc0-4270-9d47-caacbf663acf,0.43402,0.846,0.926,0.25354,5,0.3736,-6.036,1,0.5428,135.999,6,0.774,6130207,278.01392,278013.0,0.0,276.1549,0.72,0.008,0.993,0.893,211642,61,1
bbe453e4-3305-4303-bfa7-71f20a5f5f0d,0.43314,0.917,0.912,0.25724,9,0.4,-7.329,0,0.4483,117.454,4,0.657,4940319,224.05075,224050.0,0.65016,223.97968,0.787,0.022,0.99,0.891,224040,56,1
37a71f68-0b69-43ea-9d9b-deecb2665662,0.52572,0.839,0.799,0.15704,9,0.4,-7.845,0,0.4981,123.047,4,0.583,4961823,225.02599,225025.0,0.06966,211.74277,0.785,0.015,0.992,0.893,136186,60,1
36eb227c-8435-451c-a52f-81ab349e01fe,0.43371,0.883,0.925,0.29911,9,0.4,-8.037,0,0.5713,129.199,4,0.684,3410463,154.66953,,0.76626,151.71918,0.754,0.012,0.997,0.897,133670,56,1
b1d4c5ec-cc46-4414-8924-bb91937c5592,0.41259,0.885,0.934,0.23839,5,0.4,-9.562,1,0.4599,123.047,3,0.748,5408287,245.27379,245273.0,0.0,245.01695,0.785,0.02,0.992,0.893,193962,60,1
04757965-79ca-4762-81d8-bad1f5a40353,0.5122,0.782,0.812,0.28013,5,0.4,-6.012,1,0.5211,143.555,3,0.715,3077663,139.57655,139576.0,0.0,135.39555,0.682,0.018,0.99,0.891,236360,64,1
562a0e8a-613b-4549-a783-ae7fd5a5b51e,0.48646,0.852,0.85,0.22615,9,0.4,-8.839,0,0.5781,129.199,4,0.653,5794335,262.78162,262781.0,0.0,260.01706,0.754,0.02,0.99,0.891,283550,77,1
c7dcf9b4-3c08-4d33-bea5-1a982bdfd2ea,0.51348,0.919,0.823,0.28454,5,0.3703,-6.35,1,0.5093,117.454,7,0.673,3586591,162.6572,162657.0,0.0,161.84308,0.787,0.014,0.994,0.894,236973,67,1
