song_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,num_samples,duration,duration_ms,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,song_duration_ms,popularity,explicit
a338bcd4-8f9e-480c-854a-2d5f2d167642,0.44977,0.914,0.899,0.27995,9,0.3456,-9.871,0,0.5068,117.454,7,0.654,4934175,223.77211,,0.09288,219.61433,0.787,0.015,0.989,0.89,179786,66,0
29f1aad7-60f7-4ee7-9c45-23ea41706ec1,0.49343,0.655,0.833,0.19929,2,0.4,-9.674,0,0.5414,123.047,4,0.621,5449247,247.13138,,0.13932,231.6655,0.785,0.038,0.991,0.892,189280,60,0
a5dfb777-e44e-487b-8a9b-c521ad7461f8,0.41681,0.898,0.849,0.31022,10,0.2458,-8.053,0,0.5726,107.666,3,0.608,5369375,243.50906,,0.65016,226.02304,0.738,0.017,0.986,0.888,263400,88,0
5fa7e8b9-6840-4da4-b7b5-bd379d9feea2,0.34263,0.917,0.911,0.3151,9,0.2076,-8.052,0,0.4828,107.666,4,0.637,4974111,225.58327,,0.25542,223.37596,0.738,0.011,0.989,0.89,247106,58,0
9c2584e8-1f5a-420f-b8c2-adae6dc6640d,0.37418,0.753,0.867,0.28207,5,0.2121,-6.221,1,0.5717,143.555,3,0.777,4549151,206.3107,,0.04644,198.99501,0.682,0.018,0.992,0.893,269813,41,0
1a105c86-31b8-489a-a473-2d9e015aac92,0.37418,0.753,0.867,0.28207,5,0.2121,-6.221,1,0.5717,143.555,3,0.777,4549151,206.3107,,0.04644,198.99501,0.682,0.018,0.992,0.893,243466,43,0
c19e311e-a2fd-4b4d-b46e-e4fdff336be2,0.40743,0.657,0.831,0.25674,7,0.2203,-7.21,1,0.5887,78.303,6,0.601,6146591,278.75696,,0.13932,275.48154,0.592,0.018,0.988,0.889,189880,34,0
61d21557-99bc-4a23-b54d-d90fce4770b8,0.35824,0.873,0.906,0.3225,2,0.2272,-7.519,0,0.4694,129.199,4,0.68,4101663,186.01646,,5.45669,184.6683,0.754,0.017,0.984,0.886,225560,76,0
b300a0e1-b5b1-4728-aaf3-1a3e9b287c3c,0.39313,0.878,0.888,0.29223,9,0.252,-7.147,1,0.4738,129.199,7,0.752,3910175,177.3322,,0.02322,167.97314,0.754,0.015,0.989,0.89,202626,64,0
1e0c2480-41fb-40eb-b04d-278d0a631fad,0.37418,0.753,0.869,0.30312,5,0.2119,-6.153,1,0.5735,143.555,3,0.778,4547072,206.21642,,0.02322,198.97179,0.682,0.023,0.991,0.892,206213,53,0
ce489c4e-149a-4302-acff-6a77cb87fe94,0.37877,0.704,0.842,0.2721,5,0.1997,-8.447,1,0.5983,151.999,3,0.767,4891167,221.82162,,0.02322,215.80626,0.64,0.008,0.985,0.887,176293,50,0
2da78cf2-3c10-4e0b-afce-85898e7ea054,0.37877,0.704,0.842,0.2721,5,0.1997,-8.447,1,0.5983,151.999,3,0.767,4891167,221.82162,,0.02322,215.80626,0.64,0.008,0.985,0.887,190773,56,0
f73f388b-d3b4-4ee4-992e-e411bcc5c510,0.40728,0.802,0.9,0.29751,9,0.2749,-8.426,0,0.5241,89.103,7,0.596,4265503,193.44685,,0.02322,189.42839,0.646,0.016,0.995,0.895,278613,64,0
12dd8330-f96f-4797-9f9f-fd07be9bc7e4,0.37378,0.707,0.891,0.31485,6,0.2305,-7.295,0,0.5,143.555,4,0.707,5002783,226.88358,,6.57125,221.0772,0.682,0.019,0.982,0.884,185986,65,0
cbf0ddfe-683f-425e-82c4-817d404661b1,0.33941,0.872,0.92,0.28647,9,0.221,-6.758,0,0.4006,107.666,6,0.638,4765215,216.10953,,0.04644,210.72108,0.738,0.017,0.991,0.892,233226,38,0
